cnf,implementation,time
ADD,DEFAULT,0.13484517903998494
AND,COND,0.3017748389393091
AND,DEFAULT,0.09795840200968087
AND,RELU,0.28999999293591827
AND,WHERE,0.45252326305489987
IAND,COND,0.33902101893909276
IAND,DEFAULT,0.20300940098240972
IAND,RELU,0.18181665800511837
IAND,WHERE,0.4095376910408959
NAND,COND,0.29108831100165844
NAND,DEFAULT,0.2576643310021609
NAND,RELU,0.41480305802542716
NAND,WHERE,0.580538398004137
NOR,COND,0.2970729860244319
NOR,DEFAULT,0.34378933103289455
NOR,WHERE,0.5367237200262025
OR,COND,0.28826851304620504
OR,DEFAULT,0.22155930998269469
OR,WHERE,0.3875995690468699
XNOR,COND,0.2916574110276997
XNOR,DEFAULT,0.44241710705682635
XNOR,LONG,0.46037198207341135
XNOR,MOD,0.30014667694922537
XNOR,WHERE,0.5345850640442222
XOR,COND,0.29843521502334625
XOR,DEFAULT,0.3121476579690352
XOR,LONG,0.3390028179856017
XOR,MOD,0.1756818009307608
XOR,WHERE,0.3800125039415434
